Net Metrekare,Oda Sayısı,Bulunduğu Kat,Banyo Sayısı,Binanın Yaşı,Binanın Kat Sayısı,Site İçerisinde,address,price,latitude,longitude
123.0,4+1,1.Kat,2,0 (Yeni),3,Hayır,Kocaeli - Kartepe - Fatih Sultan Mehmet Mahallesi,4600000,40.7365963,30.0231861
10.0,3+1,1.Kat,1,4,3,Evet,Kocaeli - Körfez - Mimar Sinan Mahallesi,3300000,40.7659429,29.7570809
150.0,3+1,3.Kat,2,0 (Yeni),3,Hayır,Kocaeli - Başiskele - Yeşilyurt Mahallesi,3350000,40.7147344,29.9538172
104.0,3+1,2.Kat,1,0 (Yeni),3,Hayır,Kocaeli - Kartepe - Fatih Sultan Mehmet Mahallesi,4100000,40.7365963,30.0231861
118.0,4+1,1.Kat,1,0 (Yeni),3,Hayır,Kocaeli - Kartepe - Fatih Sultan Mehmet Mahallesi,4550000,40.7365963,30.0231861
90.0,2+1,2.Kat,1,0 (Yeni),5,Hayır,Kocaeli - Başiskele - Serdar Mahallesi,2650000,40.71265229999999,29.9408065
87.0,3+1,2.Kat,1,0 (Yeni),3,Hayır,Kocaeli - Kartepe - Fatih Sultan Mehmet Mahallesi,3500000,40.7365963,30.0231861
81.0,2+1,3.Kat,1,0 (Yeni),6,Hayır,Kocaeli - Gebze - İnönü Mahallesi,2800000,40.8184455,29.4382459
111.0,3+1,3.Kat,1,0 (Yeni),3,Hayır,Kocaeli - Kartepe - Fatih Sultan Mehmet Mahallesi,4100000,40.7365963,30.0231861
85.0,2+1,Düz Giriş (Zemin),1,21 Ve Üzeri,4,Hayır,Kocaeli - Gebze - Adem Yavuz Mahallesi,1190000,40.8176435,29.3787483
145.0,3+1,Çatı Dubleks,1,4,3,Hayır,Kocaeli - Körfez - Mimar Sinan Mahallesi,3750000,40.7659429,29.7570809
89.0,2+1,2.Kat,1,0 (Yeni),3,Evet,Kocaeli - Kartepe - Fatih Sultan Mehmet Mahallesi,1999999,40.7365963,30.0231861
55.0,1+1,2.Kat,1,11-15,4,Evet,Kocaeli - İzmit - Akpınar Mahallesi,1490000,40.795564,29.883291
79.0,2+1,2.Kat,1,0 (Yeni),3,Hayır,Kocaeli - Kartepe - Emekevler Mahallesi,1899999,40.7387377,30.0723009
200.0,3+1,Müstakil,1,11-15,1,Hayır,Kocaeli - Kartepe - Ertuğrul Gazi Mahallesi,3500000,40.7548512,30.0361888
90.0,2+1,2.Kat,1,4,4,Hayır,Kocaeli - Çayırova - Yeni Mahallesi,2480000,40.8231961,29.3671362
120.0,3+1,1.Kat,1,5-10,4,Hayır,Kocaeli - İzmit - Şirintepe Mahallesi,2550000,40.7634588,29.85982379999999
130.0,3+1,4.Kat,1,21 Ve Üzeri,6,Hayır,Kocaeli - İzmit - Cumhuriyet Mahallesi,3750000,40.7593509,29.8742885
125.0,3+1,2.Kat,1,11-15,3,Hayır,Kocaeli - Derince - Dumlupınar Mahallesi,2660000,40.7532944,29.8222085
75.0,2+1,2.Kat,2,0 (Yeni),3,Hayır,Kocaeli - Başiskele - Paşadağ Mahallesi,2500000,40.7064933,29.9827252
170.0,4+1,Çatı Dubleks,3,1,3,Hayır,Kocaeli - Gölcük - Karaköprü Mahallesi,3750000,40.7010052,29.8554841
130.0,3+1,1.Kat,2,2,4,Hayır,Kocaeli - Kartepe - Fatih Sultan Mehmet Mahallesi,3650000,40.7365963,30.0231861
95.0,2+1,4.Kat,1,2,4,Hayır,Kocaeli - Çayırova - Akse Mahallesi,2450000,40.8359257,29.4005185
75.0,2+1,Yüksek Giriş,1,0 (Yeni),7,Hayır,Kocaeli - İzmit - Çayırköy Mahallesi,2950000,40.800946,29.995282
750.0,8+3,Müstakil,6+,21 Ve Üzeri,3,Hayır,Kocaeli - Karamürsel - Çamçukur Mahallesi,27000000,40.6832909,29.633274
95.0,3+1,2.Kat,1,0 (Yeni),4,Hayır,Kocaeli - Çayırova - Emek Mahallesi,2975000,40.8188859,29.403421
80.0,2+1,3.Kat,1,0 (Yeni),4,Hayır,Kocaeli - Başiskele - Yeşilyurt Mahallesi,2650000,40.7147344,29.9538172
70.0,2+1,4.Kat,1,21 Ve Üzeri,4,Hayır,Kocaeli - Gebze - Mevlana Mahallesi,1257000,40.8055082,29.4222855
110.0,3+1,3.Kat,2,5-10,3,Hayır,Kocaeli - Kartepe - Fatih Sultan Mehmet Mahallesi,2250000,40.7365963,30.0231861
120.0,3+1,3.Kat,1,21 Ve Üzeri,3,Hayır,Kocaeli - İzmit - Terzibayırı Mahallesi,1350000,40.7726069,29.9314092
95.0,2+1,2.Kat,1,11-15,3,Hayır,Kocaeli - İzmit - Yenişehir Mahallesi,2985000,40.77316889999999,29.9639357
79.0,2+1,2.Kat,1,0 (Yeni),4,Hayır,Kocaeli - Başiskele - Yeşilyurt Mahallesi,1999999,40.7147344,29.9538172
90.0,2+1,2.Kat,1,5-10,4,Hayır,Kocaeli - Darıca - Nenehatun Mahallesi,2395000,40.7812258,29.384554
140.0,3+1,Düz Giriş (Zemin),1,0 (Yeni),3,Hayır,Kocaeli - Başiskele - Fatih Mahallesi,3225000,40.6944072,29.9682719
85.0,3+1,3.Kat,1,0 (Yeni),4,Evet,Kocaeli - İzmit - Sekbanlı Mahallesi,2850000,40.813718,29.951476
170.0,4+1,3.Kat,2,0 (Yeni),3,Hayır,Kocaeli - Başiskele - Yeniköy Merkez Mahallesi,4600000,40.6896527,29.8873054
130.0,3+1,2.Kat,1,0 (Yeni),2,Hayır,Kocaeli - Kartepe - Ataevler Mahallesi,3250000,40.7438656,30.0463012
90.0,2+1,3.Kat,1,0 (Yeni),5,Hayır,Kocaeli - Başiskele - Serdar Mahallesi,2700000,40.71265229999999,29.9408065
100.0,3+1,Kot 2 (-2).Kat,1,16-20,3,Evet,Kocaeli - Başiskele - Altınkent Mahallesi,1875000,40.697935,29.9436979
110.0,2+1,1.Kat,1,11-15,5,Hayır,Kocaeli - Darıca - Piri Reis Mahallesi,2750000,40.7806769,29.3656846
55.0,1+1,2.Kat,1,11-15,4,Hayır,Kocaeli - Darıca - Fevzi Çakmak Mahallesi,2000000,40.7669386,29.3973465
110.0,3+1,2.Kat,1,5-10,3,Evet,Kocaeli - Körfez - Fatih Mahallesi,2475000,40.753727,29.7961611
90.0,2+1,4.Kat,1,5-10,5,Evet,Kocaeli - İzmit - Alikahya Fatih Mahallesi,2200000,40.770276,29.987535
90.0,2+1,1.Kat,1,11-15,3,Hayır,Kocaeli - Darıca - Bayramoğlu Mahallesi,2000000,40.7947045,29.3569749
130.0,3+1,Çatı Dubleks,1,5-10,3,Hayır,Kocaeli - İzmit - Yenişehir Mahallesi,3350000,40.77316889999999,29.9639357
