Net Metrekare,Oda Sayısı,Bulunduğu Kat,Banyo Sayısı,Binanın Yaşı,Binanın Kat Sayısı,Site İçerisinde,price
120.0,3.0,3.0,2,0.0,4,0.0,3.9
115.0,3.0,3.0,2,3.0,5,0.0,2.95
115.0,3.0,2.0,1,0.0,4,0.0,3.1
110.0,3.0,2.0,1,0.0,4,0.0,3.3
110.0,3.0,2.0,1,0.0,4,0.0,2.65
85.0,2.0,3.0,1,0.0,4,0.0,2.3
190.0,4.0,4.0,1,0.0,4,0.0,3.7
120.0,3.0,1.0,1,0.0,3,0.0,2.9
110.0,3.0,2.0,1,0.0,4,0.0,3.55
25.0,3.0,4.0,1,1.0,5,0.0,3.0
63.0,2.0,3.0,1,0.0,9,1.0,3.0
125.0,3.0,2.0,1,0.0,5,0.0,2.75
80.0,2.0,2.0,2,0.0,2,1.0,5.95
180.0,3.0,3.0,2,5.0,4,1.0,4.55
111.0,3.0,2.0,1,0.0,4,1.0,4.25
75.0,2.0,1.0,1,1.0,7,0.0,1.7
115.0,3.0,3.0,2,0.0,4,1.0,3.96
92.0,2.0,2.0,1,0.0,4,1.0,3.8
60.0,1.0,1.0,1,5.0,3,1.0,1.78
155.0,4.0,2.0,3,0.0,3,0.0,3.25
94.0,2.0,6.0,1,0.0,8,0.0,2.875
115.0,3.0,5.0,1,21.0,5,1.0,2.1
150.0,4.0,3.0,2,0.0,3,0.0,3.35
125.0,3.0,2.0,1,0.0,2,0.0,3.35
85.0,2.0,2.0,1,21.0,4,0.0,1.45
100.0,2.0,3.0,2,0.0,4,0.0,2.32
110.0,3.0,2.0,2,0.0,4,0.0,2.0
120.0,2.0,2.0,1,0.0,3,0.0,3.1
110.0,2.0,4.0,2,1.0,4,0.0,6.25
120.0,3.0,1.0,1,21.0,5,0.0,1.45
80.0,2.0,1.0,1,5.0,5,0.0,3.75
130.0,4.0,4.0,1,0.0,4,0.0,3.6
200.0,5.0,5.0,2,2.0,5,0.0,0.02
180.0,4.0,5.0,2,0.0,5,0.0,3.3
75.0,2.0,2.0,1,0.0,4,0.0,2.35
120.0,3.0,2.0,1,5.0,3,0.0,2.35
120.0,3.0,6.0,1,21.0,7,0.0,3.65
115.0,3.0,2.0,1,21.0,4,0.0,1.6
110.0,2.0,2.0,1,0.0,2,0.0,2.75
149.0,4.0,1.0,1,5.0,3,1.0,3.77
100.0,3.0,1.0,1,21.0,3,0.0,2.25
65.0,1.0,2.0,1,0.0,3,0.0,1.85
77.0,2.0,1.0,1,11.0,7,1.0,1.65
105.0,2.0,5.0,1,0.0,5,0.0,2.575
95.0,3.0,2.0,1,0.0,4,0.0,2.0
175.0,4.0,4.0,2,3.0,4,0.0,3.795
150.0,3.0,4.0,2,0.0,4,0.0,2.945
100.0,2.0,2.0,2,5.0,4,0.0,2.8
140.0,3.0,4.0,1,0.0,4,0.0,2.79
110.0,2.0,2.0,2,0.0,4,0.0,2.8
80.0,2.0,2.0,1,5.0,4,0.0,2.2
85.0,2.0,2.0,1,21.0,4,0.0,1.38
90.0,2.0,2.0,1,0.0,4,0.0,2.735
105.0,3.0,3.0,2,5.0,5,0.0,2.9
80.0,2.0,2.0,1,5.0,4,0.0,2.15
130.0,3.0,2.0,1,11.0,5,1.0,3.0
75.0,2.0,2.0,1,21.0,4,0.0,1.25
140.0,3.0,3.0,2,5.0,4,0.0,5.2
90.0,2.0,2.0,1,0.0,3,0.0,3.0
95.0,1.0,2.0,0,21.0,3,0.0,4.95
50.0,1.0,2.0,1,5.0,3,0.0,1.95
120.0,3.0,4.0,2,5.0,5,1.0,3.085
270.0,5.0,2.0,2,21.0,7,0.0,1.6
100.0,3.0,2.0,1,1.0,3,0.0,3.35
125.0,3.0,3.0,1,5.0,4,0.0,5.65
105.0,2.0,3.0,1,1.0,4,0.0,2.48
115.0,3.0,2.0,1,21.0,9,1.0,2.15
130.0,3.0,2.0,1,4.0,3,0.0,6.4
160.0,4.0,2.0,1,0.0,3,0.0,3.5
51.0,1.0,2.0,1,0.0,6,1.0,4.158359
80.0,2.0,2.0,1,0.0,3,0.0,2.35
145.0,3.0,1.0,1,3.0,3,0.0,2.65
100.0,3.0,2.0,1,3.0,2,0.0,2.45
110.0,3.0,1.0,1,0.0,3,0.0,2.9
190.0,4.0,4.0,2,5.0,4,0.0,4.0
110.0,2.0,3.0,2,0.0,8,1.0,4.5
90.0,2.0,2.0,1,0.0,4,0.0,2.15
125.0,3.0,2.0,1,0.0,3,0.0,3.75
150.0,3.0,2.0,1,0.0,3,0.0,4.0
165.0,3.0,2.0,2,5.0,4,1.0,3.3
175.0,4.0,2.0,2,0.0,3,0.0,4.35
150.0,3.0,3.0,1,4.0,4,0.0,4.55
200.0,2.0,3.0,1,5.0,3,0.0,3.75
130.0,3.0,2.0,1,21.0,4,0.0,2.6
75.0,2.0,2.0,1,0.0,3,0.0,2.33
160.0,4.0,1.0,2,0.0,5,0.0,2.95
90.0,2.0,3.0,1,0.0,5,0.0,2.4
165.0,3.0,2.0,2,0.0,3,0.0,3.95
110.0,3.0,1.0,1,0.0,5,0.0,3.2
150.0,4.0,4.0,1,4.0,4,0.0,3.2
80.0,2.0,2.0,2,0.0,5,0.0,2.6
105.0,3.0,3.0,1,0.0,5,0.0,3.1
120.0,3.0,2.0,1,0.0,4,0.0,3.1
65.0,2.0,2.0,1,0.0,4,0.0,1.85
85.0,2.0,2.0,1,0.0,4,0.0,2.35
85.0,2.0,1.0,1,5.0,8,1.0,3.5
85.0,2.0,3.0,1,0.0,4,0.0,2.89
110.0,3.0,3.0,1,0.0,4,0.0,2.75
85.0,2.0,1.0,1,5.0,4,0.0,2.33
140.0,4.0,2.0,3,0.0,4,0.0,3.1
110.0,3.0,2.0,1,0.0,4,0.0,2.85
110.0,2.0,4.0,1,0.0,4,0.0,2.25
220.0,5.0,5.0,2,0.0,5,0.0,4.0
165.0,4.0,1.0,1,0.0,5,0.0,2.85
75.0,2.0,2.0,1,4.0,5,0.0,1.87
160.0,3.0,4.0,2,0.0,4,0.0,3.25
125.0,3.0,3.0,1,0.0,5,0.0,3.5
85.0,2.0,4.0,1,5.0,4,0.0,3.45
80.0,2.0,2.0,1,0.0,4,0.0,2.5
85.0,2.0,2.0,1,0.0,5,0.0,2.75
85.0,2.0,4.0,1,0.0,5,0.0,2.9
240.0,5.0,4.0,2,4.0,4,0.0,3.85
80.0,2.0,1.0,1,4.0,4,0.0,2.425
160.0,4.0,4.0,1,5.0,4,0.0,3.0
110.0,3.0,3.0,1,0.0,5,0.0,3.5
90.0,2.0,2.0,1,4.0,6,0.0,2.5
